event_week,carters,purchasers,abandoned_users,abandon_rate_pct,prev_week_abandon_pct,abandon_rate_change
2019-09-30,62849,72421,-9572,-15.23,,
2019-10-07,55892,94099,-38207,-68.36,-15.23,-53.13
2019-10-14,115904,100569,15335,13.23,-68.36,81.59
2019-10-21,102568,93742,8826,8.61,13.23,-4.62
2019-10-28,53134,83551,-30417,-57.25,8.61,-65.86
2019-11-04,122891,97514,25377,20.65,-57.25,77.90
2019-11-11,445571,184882,260689,58.51,20.65,37.86
2019-11-18,182717,92339,90378,49.46,58.51,-9.05
2019-11-25,166529,85929,80600,48.40,49.46,-1.06
