event_week,total_purchases,total_revenue,rolling_3w_purchases,rolling_3w_revenue,rolling_3w_conv_pct
2019-09-30,117227,25713008.65,117227,25713008.65,115.23
2019-10-07,154309,31456178.47,135768,28584593.56,141.80
2019-10-14,171276,37611673.86,147604,31593620.33,123.45
2019-10-21,153518,33356464.17,159701,34141438.83,115.51
2019-10-28,133992,28652601.74,152929,33206913.26,111.80
2019-11-04,156155,31271452.32,147888,31093506.08,109.33
2019-11-11,309873,67841093.96,200007,42588382.67,92.70
2019-11-18,157103,30729809.99,207710,43280785.42,57.13
2019-11-25,142479,28444883.89,203152,42338595.95,47.88
