event_week,viewers,carters,purchasers,view_to_cart_pct,cart_to_purchase_pct,total_dropoff,prev_week_conv_pct,wow_conv_change
2019-09-30,795895,62849,72421,7.90,115.23,723474,,
2019-10-07,992250,55892,94099,5.63,168.36,898151,115.23,53.13
2019-10-14,1033517,115904,100569,11.21,86.77,932948,168.36,-81.59
2019-10-21,1030295,102568,93742,9.96,91.39,936553,86.77,4.62
2019-10-28,999813,53134,83551,5.31,157.25,916262,91.39,65.86
2019-11-04,1258114,122891,97514,9.77,79.35,1160600,157.25,-77.90
2019-11-11,1466601,445571,184882,30.38,41.49,1281719,79.35,-37.86
2019-11-18,1277685,182717,92339,14.30,50.54,1185346,41.49,9.05
2019-11-25,1068362,166529,85929,15.59,51.60,982433,50.54,1.06
