event_week,unique_users,viewers,carters,purchasers,total_purchases,total_revenue,avg_purchase_price,prev_week_purchasers,purchaser_change,purchaser_wow_pct,prev_week_revenue,revenue_change,revenue_wow_pct,next_week_purchasers,next_week_revenue
2019-09-30,795945,795895,62849,72421,117227,25713008.65,219.34,,,,,,,94099,31456178.47
2019-10-07,992294,992250,55892,94099,154309,31456178.47,203.85,72421,21678,29.93,25713008.65,5743169.82,22.34,100569,37611673.86
2019-10-14,1033586,1033517,115904,100569,171276,37611673.86,219.60,94099,6470,6.88,31456178.47,6155495.39,19.57,93742,33356464.17
2019-10-21,1030398,1030295,102568,93742,153518,33356464.17,217.28,100569,-6827,-6.79,37611673.86,-4255209.69,-11.31,83551,28652601.74
2019-10-28,999888,999813,53134,83551,133992,28652601.74,213.84,93742,-10191,-10.87,33356464.17,-4703862.43,-14.10,97514,31271452.32
2019-11-04,1258186,1258114,122891,97514,156155,31271452.32,200.26,83551,13963,16.71,28652601.74,2618850.58,9.14,184882,67841093.96
2019-11-11,1467279,1466601,445571,184882,309873,67841093.96,218.93,97514,87368,89.60,31271452.32,36569641.64,116.94,92339,30729809.99
2019-11-18,1277774,1277685,182717,92339,157103,30729809.99,195.60,184882,-92543,-50.06,67841093.96,-37111283.97,-54.70,85929,28444883.89
2019-11-25,1068479,1068362,166529,85929,142479,28444883.89,199.64,92339,-6410,-6.94,30729809.99,-2284926.10,-7.44,,
